"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!White","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Black or African American","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!American Indian and Alaska Native","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Asian","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Native Hawaiian and Other Pacific Islander","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Some other race","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Two or more races","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Hispanic or Latino origin (of any race)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!White alone, not Hispanic or Latino","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","FAMILIES","FAMILIES!!Families","FAMILIES!!Families!!With own children of householder under 18 years","FAMILIES!!Families!!With no own children of householder under 18 years","FAMILIES!!Families!!Married-couple families","FAMILIES!!Families!!Married-couple families!!With own children under 18 years","FAMILIES!!Families!!Female householder, no spouse present","FAMILIES!!Families!!Female householder, no spouse present!!With own children under 18 years","FAMILIES!!Families!!Male householder, no spouse present","FAMILIES!!Families!!Male householder, no spouse present!!With own children under 18 years","FAMILY INCOME BY FAMILY SIZE","FAMILY INCOME BY FAMILY SIZE!!2-person families","FAMILY INCOME BY FAMILY SIZE!!3-person families","FAMILY INCOME BY FAMILY SIZE!!4-person families","FAMILY INCOME BY FAMILY SIZE!!5-person families","FAMILY INCOME BY FAMILY SIZE!!6-person families","FAMILY INCOME BY FAMILY SIZE!!7-or-more person families","FAMILY INCOME BY NUMBER OF EARNERS","FAMILY INCOME BY NUMBER OF EARNERS!!No earners","FAMILY INCOME BY NUMBER OF EARNERS!!1 earner","FAMILY INCOME BY NUMBER OF EARNERS!!2 earners","FAMILY INCOME BY NUMBER OF EARNERS!!3 or more earners","NONFAMILY HOUSEHOLDS","NONFAMILY HOUSEHOLDS!!Nonfamily households","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","93,264","","93,179","-","51,739","144,432","-","80,799","104,364","64,196","99,028","","107,699","94,596","111,875","70,706","","107,487","134,583","100,850","121,268","164,417","66,875","80,598","93,500","-","","99,293","107,368","102,292","148,750","221,176","231,429","","71,447","102,845","114,352","112,321","","54,222","49,617","46,961","-","67,043","63,917","103,594"
"ZCTA5 93111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","6,643","","5,415","47","52","385","0","419","325","1,169","4,850","","186","1,615","2,575","2,267","","4,604","2,015","2,589","3,996","1,782","409","191","199","42","","1,888","957","1,184","364","175","36","","742","1,265","1,887","710","","2,039","1,281","1,014","267","758","599","159"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","6,643","","81.5%","0.7%","0.8%","5.8%","0.0%","6.3%","4.9%","17.6%","73.0%","","2.8%","24.3%","38.8%","34.1%","","4,604","43.8%","56.2%","86.8%","38.7%","8.9%","4.1%","4.3%","0.9%","","41.0%","20.8%","25.7%","7.9%","3.8%","0.8%","","16.1%","27.5%","41.0%","15.4%","","2,039","62.8%","49.7%","13.1%","37.2%","29.4%","7.8%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","117,480","","118,892","-","208,333","130,481","-","91,349","213,958","112,734","117,736","","-","132,454","145,519","91,719","","145,139","183,813","128,594","150,658","189,315","93,583","56,339","115,625","-","","117,162","139,688","172,857","203,701","135,564","-","","85,556","119,464","188,277","136,623","","65,354","63,972","55,769","114,464","67,885","61,012","134,904"
"ZCTA5 93117","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","16,568","","11,250","556","103","2,300","0","1,265","1,094","3,905","9,185","","4,293","5,063","4,246","2,966","","8,282","3,624","4,658","6,412","2,768","1,445","761","425","95","","3,438","2,069","1,551","829","206","189","","681","2,245","4,118","1,238","","8,286","3,985","1,471","2,514","4,301","1,966","2,335"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","16,568","","67.9%","3.4%","0.6%","13.9%","0.0%","7.6%","6.6%","23.6%","55.4%","","25.9%","30.6%","25.6%","17.9%","","8,282","43.8%","56.2%","77.4%","33.4%","17.4%","9.2%","5.1%","1.1%","","41.5%","25.0%","18.7%","10.0%","2.5%","2.3%","","8.2%","27.1%","49.7%","14.9%","","8,286","48.1%","17.8%","30.3%","51.9%","23.7%","28.2%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","70,878","","74,347","102,500","101,211","53,398","-","42,957","62,364","54,204","79,809","","19,322","87,445","117,700","84,297","","108,185","108,238","108,154","119,276","129,234","51,537","36,201","74,511","60,250","","98,108","91,169","130,765","98,866","146,739","183,491","","70,956","78,250","113,375","142,841","","35,094","32,836","24,123","36,853","38,063","37,624","38,623"
"ZCTA5 93201","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","321","","243","0","3","0","6","15","54","261","54","","12","187","91","31","","258","176","82","222","153","17","9","19","14","","50","59","54","39","45","11","","32","104","101","21","","63","21","16","5","42","36","6"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","321","","75.7%","0.0%","0.9%","0.0%","1.9%","4.7%","16.8%","81.3%","16.8%","","3.7%","58.3%","28.3%","9.7%","","258","68.2%","31.8%","86.0%","59.3%","6.6%","3.5%","7.4%","5.4%","","19.4%","22.9%","20.9%","15.1%","17.4%","4.3%","","12.4%","40.3%","39.1%","8.1%","","63","33.3%","25.4%","7.9%","66.7%","57.1%","9.5%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","33,688","","40,938","-","-","-","-","34,250","-","32,938","41,875","","-","42,578","25,781","45,625","","43,125","42,813","46,250","44,318","44,432","32,750","-","42,750","29,167","","56,000","34,750","-","55,250","-","46,875","","-","-","57,841","57,250","","20,250","-","-","-","19,375","17,500","-"
"ZCTA5 93202","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,095","","603","34","0","21","0","333","104","752","208","","86","476","370","163","","962","627","335","708","501","176","104","78","22","","207","212","137","282","110","14","","130","380","406","46","","133","62","62","0","71","53","18"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,095","","55.1%","3.1%","0.0%","1.9%","0.0%","30.4%","9.5%","68.7%","19.0%","","7.9%","43.5%","33.8%","14.9%","","962","65.2%","34.8%","73.6%","52.1%","18.3%","10.8%","8.1%","2.3%","","21.5%","22.0%","14.2%","29.3%","11.4%","1.5%","","13.5%","39.5%","42.2%","4.8%","","133","46.6%","46.6%","0.0%","53.4%","39.8%","13.5%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","49,821","","59,426","-","-","-","-","42,165","-","48,667","47,188","","41,667","58,077","46,442","48,417","","49,898","50,301","48,583","59,583","58,990","32,647","-","-","-","","-","-","45,774","57,596","75,642","-","","19,722","30,179","75,304","75,500","","-","33,056","33,056","-","108,250","87,188","-"
"ZCTA5 93203","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","5,077","","3,708","40","47","61","0","923","298","4,670","309","","178","2,468","1,825","606","","4,707","3,099","1,608","3,254","2,077","1,047","800","406","222","","930","854","1,101","850","588","384","","501","1,911","1,497","798","","370","131","83","48","239","207","32"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","5,077","","73.0%","0.8%","0.9%","1.2%","0.0%","18.2%","5.9%","92.0%","6.1%","","3.5%","48.6%","35.9%","11.9%","","4,707","65.8%","34.2%","69.1%","44.1%","22.2%","17.0%","8.6%","4.7%","","19.8%","18.1%","23.4%","18.1%","12.5%","8.2%","","10.6%","40.6%","31.8%","17.0%","","370","35.4%","22.4%","13.0%","64.6%","55.9%","8.6%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","40,045","","38,261","47,059","61,016","-","-","43,942","31,757","39,517","50,703","","35,375","36,087","46,025","36,042","","40,699","35,434","46,156","45,587","43,942","20,947","18,648","30,972","25,093","","27,386","35,407","46,291","40,455","40,584","72,939","","13,750","27,391","48,203","74,684","","20,875","27,583","11,948","35,804","20,844","18,750","-"
"ZCTA5 93204","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,752","","1,337","36","21","0","0","1,121","237","2,489","231","","67","1,418","891","376","","2,380","1,513","867","1,604","978","477","397","299","138","","411","746","407","508","192","116","","175","921","1,088","196","","372","173","153","20","199","175","24"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,752","","48.6%","1.3%","0.8%","0.0%","0.0%","40.7%","8.6%","90.4%","8.4%","","2.4%","51.5%","32.4%","13.7%","","2,380","63.6%","36.4%","67.4%","41.1%","20.0%","16.7%","12.6%","5.8%","","17.3%","31.3%","17.1%","21.3%","8.1%","4.9%","","7.4%","38.7%","45.7%","8.2%","","372","46.5%","41.1%","5.4%","53.5%","47.0%","6.5%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","49,781","","41,891","-","-","-","-","50,768","82,111","48,783","68,052","","-","43,947","52,303","42,095","","49,211","41,153","56,038","52,324","52,649","31,174","27,390","60,369","40,968","","55,817","49,254","39,375","50,714","-","69,620","","14,946","40,991","51,585","95,341","","33,182","31,563","32,660","-","-","-","-"
"ZCTA5 93205","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","881","","770","0","54","0","0","29","28","98","701","","0","284","241","356","","535","241","294","480","205","55","36","0","0","","237","111","61","64","62","0","","258","153","124","0","","346","157","156","1","189","170","19"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","881","","87.4%","0.0%","6.1%","0.0%","0.0%","3.3%","3.2%","11.1%","79.6%","","0.0%","32.2%","27.4%","40.4%","","535","45.0%","55.0%","89.7%","38.3%","10.3%","6.7%","0.0%","0.0%","","44.3%","20.7%","11.4%","12.0%","11.6%","0.0%","","48.2%","28.6%","23.2%","0.0%","","346","45.4%","45.1%","0.3%","54.6%","49.1%","5.5%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","23,051","","22,682","-","-","-","-","-","-","23,582","22,168","","-","19,234","48,234","23,909","","-","16,616","58,750","43,182","17,641","-","-","-","-","","58,819","-","-","-","-","-","","23,021","18,528","79,727","-","","20,139","-","-","-","-","-","-"
"ZCTA5 93206","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","504","","384","7","0","0","0","45","68","354","135","","32","223","204","45","","412","252","160","260","146","120","80","32","26","","150","62","94","60","36","10","","74","186","132","20","","92","6","6","0","86","86","0"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","504","","76.2%","1.4%","0.0%","0.0%","0.0%","8.9%","13.5%","70.2%","26.8%","","6.3%","44.2%","40.5%","8.9%","","412","61.2%","38.8%","63.1%","35.4%","29.1%","19.4%","7.8%","6.3%","","36.4%","15.0%","22.8%","14.6%","8.7%","2.4%","","18.0%","45.1%","32.0%","4.9%","","92","6.5%","6.5%","0.0%","93.5%","93.5%","0.0%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","43,889","","45,667","-","-","-","-","43,917","-","40,526","59,063","","46,333","43,365","42,500","51,250","","36,100","35,100","40,278","42,500","50,625","35,238","-","31,500","30,000","","32,000","36,429","50,500","26,250","-","-","","11,328","32,024","48,333","-","","43,864","-","-","-","43,864","43,864","-"
"ZCTA5 93207","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","100","","85","0","7","8","0","0","0","0","85","","0","5","38","57","","65","12","53","60","7","0","0","5","5","","51","7","7","0","0","0","","41","0","17","7","","35","17","17","0","18","18","0"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","100","","85.0%","0.0%","7.0%","8.0%","0.0%","0.0%","0.0%","0.0%","85.0%","","0.0%","5.0%","38.0%","57.0%","","65","18.5%","81.5%","92.3%","10.8%","0.0%","0.0%","7.7%","7.7%","","78.5%","10.8%","10.8%","0.0%","0.0%","0.0%","","63.1%","0.0%","26.2%","10.8%","","35","48.6%","48.6%","0.0%","51.4%","51.4%","0.0%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","20,500","","18,125","-","-","-","-","-","-","-","18,125","","-","-","-","20,583","","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","","2,500-","-","45,938","-","","18,542","-","-","-","-","-","-"
"ZCTA5 93208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","88","","88","0","0","0","0","0","0","0","88","","0","68","0","20","","20","0","20","20","0","0","0","0","0","","20","0","0","0","0","0","","0","20","0","0","","68","68","68","0","0","0","0"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","88","","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","100.0%","","0.0%","77.3%","0.0%","22.7%","","20","0.0%","100.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","0.0%","100.0%","0.0%","0.0%","","68","100.0%","100.0%","0.0%","0.0%","0.0%","0.0%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","-","","-","-","-","-","-","-","-","-","-","","-","-","-","-","","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","","-","-","-","-","","-","-","-","-","-","-","-"
"ZCTA5 93210","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,896","","2,795","191","34","86","10","1,412","368","2,649","1,848","","143","1,833","1,891","1,029","","3,630","1,644","1,986","2,272","935","889","434","469","275","","1,429","830","618","463","184","106","","469","1,467","1,232","462","","1,266","680","588","92","586","500","86"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,896","","57.1%","3.9%","0.7%","1.8%","0.2%","28.8%","7.5%","54.1%","37.7%","","2.9%","37.4%","38.6%","21.0%","","3,630","45.3%","54.7%","62.6%","25.8%","24.5%","12.0%","12.9%","7.6%","","39.4%","22.9%","17.0%","12.8%","5.1%","2.9%","","12.9%","40.4%","33.9%","12.7%","","1,266","53.7%","46.4%","7.3%","46.3%","39.5%","6.8%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","61,808","","66,361","72,196","-","110,833","-","47,661","86,250","51,123","75,893","","9,313","62,196","71,477","60,313","","65,930","61,864","75,150","88,137","90,852","30,994","27,813","48,125","43,882","","52,094","61,146","66,970","62,235","88,421","-","","19,972","48,336","95,139","88,232","","41,923","36,118","35,912","-","63,953","62,647","115,577"
"ZCTA5 93212","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,014","","2,892","167","20","18","0","620","297","3,013","729","","307","1,304","1,388","1,015","","3,179","1,634","1,545","1,845","934","1,025","566","309","134","","866","704","659","535","285","130","","749","1,173","927","330","","835","381","359","22","454","329","125"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,014","","72.0%","4.2%","0.5%","0.4%","0.0%","15.4%","7.4%","75.1%","18.2%","","7.6%","32.5%","34.6%","25.3%","","3,179","51.4%","48.6%","58.0%","29.4%","32.2%","17.8%","9.7%","4.2%","","27.2%","22.1%","20.7%","16.8%","9.0%","4.1%","","23.6%","36.9%","29.2%","10.4%","","835","45.6%","43.0%","2.6%","54.4%","39.4%","15.0%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","42,983","","42,012","-","29,000","-","-","30,469","72,780","41,534","56,464","","-","46,236","53,821","27,170","","45,204","39,688","50,404","53,342","50,948","24,099","19,000","41,042","32,361","","35,541","32,407","73,730","42,188","41,382","43,500","","-","39,857","73,472","101,354","","19,572","19,375","19,402","-","20,395","16,083","-"
"ZCTA5 93215","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","12,230","","7,202","77","56","1,883","8","1,408","1,596","9,745","552","","497","5,044","4,431","2,258","","10,555","5,680","4,875","7,822","4,323","1,927","1,098","806","259","","2,429","1,929","3,087","1,825","636","649","","963","3,162","4,471","1,959","","1,675","907","667","240","768","620","148"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","12,230","","58.9%","0.6%","0.5%","15.4%","0.1%","11.5%","13.0%","79.7%","4.5%","","4.1%","41.2%","36.2%","18.5%","","10,555","53.8%","46.2%","74.1%","41.0%","18.3%","10.4%","7.6%","2.5%","","23.0%","18.3%","29.2%","17.3%","6.0%","6.1%","","9.1%","30.0%","42.4%","18.6%","","1,675","54.1%","39.8%","14.3%","45.9%","37.0%","8.8%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","46,752","","43,119","-","-","68,341","-","53,147","52,716","44,686","44,286","","39,561","48,113","58,234","28,530","","50,568","49,554","51,148","58,122","60,133","28,522","19,100","52,341","54,295","","31,163","49,792","54,440","62,807","75,851","60,737","","20,243","29,387","63,281","80,907","","16,619","14,873","12,375","-","22,784","22,368","-"
"ZCTA5 93218","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","196","","161","0","5","0","0","30","0","148","43","","0","42","81","73","","149","56","93","103","46","31","10","15","0","","57","10","24","22","31","5","","31","53","36","29","","47","20","20","0","27","27","0"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","196","","82.1%","0.0%","2.6%","0.0%","0.0%","15.3%","0.0%","75.5%","21.9%","","0.0%","21.4%","41.3%","37.2%","","149","37.6%","62.4%","69.1%","30.9%","20.8%","6.7%","10.1%","0.0%","","38.3%","6.7%","16.1%","14.8%","20.8%","3.4%","","20.8%","35.6%","24.2%","19.5%","","47","42.6%","42.6%","0.0%","57.4%","57.4%","0.0%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","26,905","","25,774","-","-","-","-","56,458","-","27,115","25,781","","-","26,429","39,519","20,662","","34,250","28,750","39,250","37,656","35,000","52,679","-","10,625","-","","21,528","-","59,375","32,000","44,464","-","","20,972","26,875","-","56,563","","15,795","16,667","16,667","-","14,821","14,821","-"
"ZCTA5 93219","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,578","","1,687","5","9","109","0","442","326","2,437","27","","146","1,179","983","270","","2,147","1,238","909","1,320","834","664","327","163","77","","344","579","318","430","262","214","","172","671","674","630","","431","189","126","63","242","195","47"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,578","","65.4%","0.2%","0.3%","4.2%","0.0%","17.1%","12.6%","94.5%","1.0%","","5.7%","45.7%","38.1%","10.5%","","2,147","57.7%","42.3%","61.5%","38.8%","30.9%","15.2%","7.6%","3.6%","","16.0%","27.0%","14.8%","20.0%","12.2%","10.0%","","8.0%","31.3%","31.4%","29.3%","","431","43.9%","29.2%","14.6%","56.1%","45.2%","10.9%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","41,012","","39,757","-","-","78,802","-","29,167","52,907","40,734","91,369","","-","31,819","70,216","35,395","","42,188","45,333","41,475","53,333","60,500","40,280","28,693","30,083","-","","27,663","41,398","30,000","50,648","57,500","83,365","","-","26,250","50,179","83,558","","21,875","15,824","11,389","-","25,481","25,529","-"
"ZCTA5 93220","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","45","","45","0","0","0","0","0","0","0","45","","0","0","45","0","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","","0","0","0","0","","45","0","0","0","45","45","0"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","45","","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","100.0%","","0.0%","0.0%","100.0%","0.0%","","0","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","","-","-","-","-","","45","0.0%","0.0%","0.0%","100.0%","100.0%","0.0%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","-","","-","-","-","-","-","-","-","-","-","","-","-","-","-","","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","","-","-","-","-","","-","-","-","-","-","-","-"
"ZCTA5 93221","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,820","","3,686","30","60","60","0","764","220","1,775","2,909","","130","1,444","1,915","1,331","","3,573","1,635","1,938","2,599","1,104","638","413","336","118","","1,448","852","592","338","256","87","","557","1,382","1,182","452","","1,247","696","625","71","551","490","61"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,820","","76.5%","0.6%","1.2%","1.2%","0.0%","15.9%","4.6%","36.8%","60.4%","","2.7%","30.0%","39.7%","27.6%","","3,573","45.8%","54.2%","72.7%","30.9%","17.9%","11.6%","9.4%","3.3%","","40.5%","23.8%","16.6%","9.5%","7.2%","2.4%","","15.6%","38.7%","33.1%","12.7%","","1,247","55.8%","50.1%","5.7%","44.2%","39.3%","4.9%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","61,782","","68,650","-","77,679","-","-","33,269","160,909","45,721","73,185","","39,348","49,881","78,778","46,801","","68,688","46,338","78,793","84,713","83,084","19,352","16,732","67,500","48,750","","75,053","39,337","103,235","54,167","94,167","99,491","","26,042","52,745","93,021","102,667","","41,012","22,727","17,798","81,208","71,490","72,115","-"
"ZCTA5 93222","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
